place,station_codes,confidence,note
Clontarf,63401,high,"Exact station name, but the Garda reporting geography is not the suburb boundary."
Raheny,63403,high,"Exact station name, but the Garda reporting geography is not the suburb boundary."
Sutton,63402|63403,low,"Could fall within Howth or Raheny reporting geography depending on location; no current public catchment boundary verifies the split."
Howth,63402,high,"Exact station name, but the Garda reporting geography is not the peninsula boundary."
Malahide,63302,high,"Exact station name, but the Garda reporting geography may extend beyond Malahide."
Swords,63303,high,"Exact station name, but the Garda reporting geography may include adjoining areas."
Portmarnock,63302|63303,low,"Likely related to Malahide or Swords reporting geography; the public data does not provide a current boundary."
Coolock,63301,high,"Exact station name; the catchment is larger and more heterogeneous than the suburb alone."
Artane,63301,medium,"Commonly associated with Coolock station geography; current public boundaries are unavailable."
Beaumont,63301|63203,low,"Could relate to Coolock or Santry station geography depending on location."
Santry,63203,high,"Exact station name, but the Garda reporting geography is not the suburb boundary."
Ballymun,63201,high,"Exact station name, but the Garda reporting geography is broader than the named neighbourhood."
Glasnevin,63201|66103|62203,low,"Parts may relate to Ballymun, Finglas or Mountjoy reporting geography; no current public boundary resolves this."
Drumcondra,62203,medium,"Commonly associated with Mountjoy station geography; current public boundaries are unavailable."
Phibsborough,62203|66102,low,"Could relate to Mountjoy or Cabra reporting geography depending on location."
Cabra,66102,high,"Exact station name, but the Garda reporting geography is not the neighbourhood boundary."
Finglas,66103,high,"Exact station name; the catchment contains several distinct communities."
Castleknock,66101,medium,"Blanchardstown is the relevant published station row; this is not Castleknock-only crime data."
Carpenterstown,66101,medium,"Blanchardstown is the relevant published station row; exact catchment boundaries are not public."
Blanchardstown,66101,high,"Exact station name; the reporting geography spans several very different neighbourhoods."
Clonsilla,66101|66302,low,"Could relate to Blanchardstown or Ronanstown reporting geography depending on location."
Ongar,66101|66302,low,"Could relate to Blanchardstown or Ronanstown reporting geography depending on location."
Mulhuddart,66101|66302,low,"Could relate to Blanchardstown or Ronanstown reporting geography depending on location."
Lucan,66301,high,"Exact station name; the reporting geography is wider than central Lucan."
Palmerstown,66301|66201,low,"Could relate to Lucan or Ballyfermot reporting geography depending on location."
Clondalkin,66202,high,"Exact station name; the station catchment is larger than the town centre."
Ballyfermot,66201,high,"Exact station name, but the Garda reporting geography may include adjoining areas."
Rathcoole,66203,high,"Exact station name; the reporting geography includes a broad outer-Dublin area."
Citywest,64202|66203,low,"Could relate to Tallaght or Rathcoole reporting geography depending on location."
Crumlin,64101,high,"Exact station name; the reporting geography is not the suburb boundary."
Drimnagh,64101|64102,low,"Could relate to Crumlin or Sundrive Road reporting geography depending on location."
Walkinstown,64101,medium,"Commonly associated with Crumlin station geography; current public boundaries are unavailable."
Kimmage,64102|64302,low,"Could relate to Sundrive Road or Terenure reporting geography depending on location."
Terenure,64302,high,"Exact station name, but the Garda reporting geography is not the village boundary."
Rathgar,64301|64302,low,"Could relate to Rathmines or Terenure reporting geography depending on location."
Rathmines,64301,high,"Exact station name; mixed-use and nightlife footfall affects comparison."
Templeogue,64302|64201,low,"Could relate to Terenure or Rathfarnham reporting geography depending on location."
Knocklyon,64201,medium,"Commonly associated with Rathfarnham station geography; no current boundary verifies the exact split."
Rathfarnham,64201,high,"Exact station name; the station geography is broad and heterogeneous."
Tallaght,64202,high,"Exact station name; the very large catchment is not a single homogeneous neighbourhood."
Dundrum,65102,high,"Exact station name; major retail and transport footfall materially affects its profile."
Sandyford,65102,medium,"Dundrum is the relevant CJA11 station row; exact current catchment boundaries are not public."
Stepaside,65102,medium,"CJA11 has no separate Stepaside row; published incidents are represented under the responsible station geography."
Blackrock,65101,high,"Exact station name, but the Garda reporting geography may include adjoining areas."
Stillorgan,65101|65102,low,"Could relate to Blackrock or Dundrum reporting geography depending on location."
Monkstown,65101|65203,low,"Could relate to Blackrock or Dún Laoghaire reporting geography depending on location."
Dún Laoghaire,65203,high,"Exact station name; town-centre and harbour footfall affects comparison."
Dalkey,65203|65201,low,"Could relate to Dún Laoghaire or Cabinteely reporting geography depending on location."
Killiney,65201|65203,low,"Could relate to Cabinteely or Dún Laoghaire reporting geography depending on location."
Cabinteely,65201,high,"Exact station name; the reporting geography spans several neighbourhoods."
Shankill,65205,high,"Exact station name, but the Garda reporting geography is not the suburb boundary."
Donnybrook,61101,high,"Exact station name, but the Garda reporting geography may include adjoining areas."
Ballsbridge,61101|61102,low,"Could relate to Donnybrook or Irishtown reporting geography depending on location."
Irishtown,61102,high,"Exact station name, but the Garda reporting geography may include adjoining areas."
Ringsend,61102,medium,"Commonly associated with Irishtown station geography; current public boundaries are unavailable."
Kilmainham,61302,high,"Exact station name, but the Garda reporting geography may include adjoining areas."
Inchicore,61302,medium,"Commonly associated with Kilmainham station geography; current public boundaries are unavailable."
Liberties,61301|61302,low,"Could relate to Kevin Street or Kilmainham reporting geography depending on location."
Docklands,61202|62301,low,"The River Liffey splits this recognisable area across Pearse Street and Store Street geographies."
Temple Bar,62101|61202,low,"Could relate to Bridewell or Pearse Street reporting geography depending on location."
O'Connell Street,62301|62202,low,"CJA11 has no separate O'Connell Street row; nearby incidents may fall under Store Street or Fitzgibbon Street."
Dublin city centre,62101|61202|61301|62301|62202,low,"The city centre spans several Garda reporting geographies; compare them rather than treating it as one station."
Dublin Airport,63202,high,"Exact station name; airport activity makes residential interpretation inappropriate."
